entry,name,area,mean,min,max,intden,rawintden,norm_density,genotype,clone
14,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0014-1130-1243:15,1.753e-6,1231.496,590,2056,0.002,18397319,0.5986666333504533,syp KO,NA
15,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0026-1003-1713:27,1.022e-6,1040.779,638,1792,0.001,9066228,0.4743677175628239,syp KO,NA
16,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0020-0788-1614:21,8.78e-7,1250.984,714,1855,0.001,9358613,0.611240446400803,syp KO,NA
17,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0020-0751-0992:21,1.484e-6,1071.453,659,1752,0.002,13545304,0.4940034601241145,syp KO,NA
18,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0029-0699-0576:30,1.418e-6,1045.892,587,1786,0.001,12637514,0.47751753367149585,syp KO,NA
19,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0026-0809-0230:27,1.633e-6,1042.545,556,1791,0.002,14510140,0.47547834704905434,syp KO,NA
20,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0038-0750-0125:39,1.305e-6,865.675,533,1318,0.001,9626305,0.35995274437070107,syp KO,NA
21,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0032-0539-0210:33,1.564e-6,923.658,368,1406,0.001,12308667,0.39773261280222105,syp KO,NA
22,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0029-0655-0369:30,1.44e-6,1049.037,682,1688,0.002,12873786,0.4796548169714254,syp KO,NA
23,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0038-0452-0561:39,1.369e-6,619.88,400,1038,8.489e-4,7233385,0.19974428151231768,syp KO,NA
24,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0041-0346-0635:42,1.314e-6,737.21,470,1187,9.688e-4,8255279,0.2762097176692623,syp KO,NA
25,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0047-0193-0349:48,1.075e-6,642.556,390,924,6.906e-4,5884527,0.2143106909335262,syp KO,NA
26,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0023-0275-0409:24,9.867e-7,925.625,521,1582,9.133e-4,7781732,0.39900587341079446,syp KO,NA
27,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0035-0585-0824:36,1.815e-6,787.9,487,1195,0.001,12187232,0.3092937730192985,syp KO,NA
28,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0038-0505-0973:39,1.212e-6,754.197,465,1176,9.142e-4,7789350,0.2872563206059273,syp KO,NA
29,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0023-0488-1191:24,1.092e-6,1179.418,690,1968,0.001,10972128,0.564445431777959,syp KO,NA
30,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0038-0366-0948:39,1.137e-6,827.824,470,1394,9.413e-4,8020788,0.3352922824434347,syp KO,NA
