file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,507,7860,2,37,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,510,4028,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,516,5435,2,22,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,521,5229,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,525,6309,2,11,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,531,6641,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,534,5270,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,535,6420,2,11,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,536,4896,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,557,3859,2,9,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,559,7493,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,561,4338,2,27,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,567,5744,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,583,6374,2,16,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,585,2877,2,11,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,587,4518,2,16,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,590,4575,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,594,8367,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,107,7059,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,183,5676,1,12,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,397,8744,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,420,4665,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,440,13507,1,12,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,462,3322,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0004,617,10656,1,8,shallow,ldh,Wildtype,VNC
